image_path,width,height,class_id,xmin,ymin,xmax,ymax
Handgun\Handgun_First_Clean_Jabez\armas (761)_jpg.rf.4T3aY4Y7AbHOdALs8HHa.jpg,300,207,1,56.0,55.0,289.0,195.0
Handgun\Handgun_First_Clean_Jabez\armas (424)_jpg.rf.CjuI1CAw9dpHZMlhFRem.jpg,767,1023,1,542.0,272.0,682.0,390.0
Handgun\Handgun_First_Clean_Jabez\armas (42)_jpg.rf.4uop1EHczBtScZGCqng9.jpg,660,440,1,160.0,99.0,321.0,193.0
Handgun\Handgun_First_Clean_Jabez\armas (640)_jpg.rf.CJeQlXTEc5wTtbDF3fLQ.jpg,758,425,1,60.0,21.0,624.0,403.0
Handgun\Handgun_First_Clean_Jabez\armas (684)_jpg.rf.LH2SlR6bUrutRAWckfZQ.jpg,800,563,1,289.0,224.0,568.0,415.0
Handgun\Handgun_First_Clean_Jabez\armas (2472)_jpg.rf.65ZKww9OJu1wMBtZn98k.jpg,160,120,1,7.0,9.0,157.0,113.0
Handgun\Handgun_First_Clean_Jabez\armas (1438)_jpg.rf.eNmRS4jasox1YuFlfsEz.jpg,500,375,1,79.0,86.0,491.0,342.0
Handgun\Handgun_First_Clean_Jabez\d1c784f544200912_jpg.rf.ohcM090NGOx4E2pFXs9r.jpg,1024,685,1,97.0,268.0,924.0,493.0
Handgun\Handgun_First_Clean_Jabez\armas (2408)_jpg.rf.focIMpGwwCjZCEszqz37.jpg,160,120,1,3.0,2.0,158.0,114.0
Handgun\Handgun_First_Clean_Jabez\armas (822)_jpg.rf.g4rcFIGnU1Ivth1ePkrr.jpg,300,196,1,3.0,27.0,283.0,182.0
Handgun\Handgun_First_Clean_Jabez\46db2f2bd6a859bd_jpg.rf.hhWxORsJZK4shwbhcnE5.jpg,684,1024,1,318.0,294.0,540.0,606.0
Handgun\Handgun_First_Clean_Jabez\armas (2328)_jpg.rf.HnRu9dRUWzOeVYHWnF5T.jpg,160,120,1,5.0,1.0,157.0,116.0
Handgun\Handgun_First_Clean_Jabez\armas (1982)_jpg.rf.EOpnE6MIRZ4z25Ed7EYC.jpg,640,445,1,1.0,10.0,640.0,426.0
Handgun\Handgun_First_Clean_Jabez\4fa8e06fc7b99ae4_jpg.rf.N89XgC0iLFgOvfVWf041.jpg,1024,768,1,54.0,141.0,408.0,400.0
Handgun\Handgun_First_Clean_Jabez\4fa8e06fc7b99ae4_jpg.rf.N89XgC0iLFgOvfVWf041.jpg,1024,768,1,569.0,213.0,1023.0,585.0
Handgun\Handgun_First_Clean_Jabez\armas (1753)_jpg.rf.oHtHRKkJCOrLG0s53w1T.jpg,500,375,1,76.0,80.0,390.0,375.0
Handgun\Handgun_First_Clean_Jabez\armas (452)_jpg.rf.oOqTeQvKfJMXsAaVjNnw.jpg,1023,683,1,601.0,139.0,724.0,308.0
Handgun\Handgun_First_Clean_Jabez\5bc0e450b2e93f6a_jpg.rf.Ho6xi8lEr9IKfc1HHAAQ.jpg,1024,768,1,408.0,271.0,933.0,597.0
Handgun\Handgun_First_Clean_Jabez\armas (667)_jpg.rf.FyXRLJURN268QHVSdewV.jpg,640,427,1,46.0,215.0,331.0,422.0
Handgun\Handgun_First_Clean_Jabez\armas (667)_jpg.rf.FyXRLJURN268QHVSdewV.jpg,640,427,1,1.0,202.0,180.0,364.0
Handgun\Handgun_First_Clean_Jabez\armas (667)_jpg.rf.FyXRLJURN268QHVSdewV.jpg,640,427,1,191.0,214.0,627.0,424.0
Handgun\Handgun_First_Clean_Jabez\armas (667)_jpg.rf.FyXRLJURN268QHVSdewV.jpg,640,427,1,29.0,117.0,381.0,252.0
Handgun\Handgun_First_Clean_Jabez\armas (667)_jpg.rf.FyXRLJURN268QHVSdewV.jpg,640,427,1,327.0,50.0,594.0,190.0
Handgun\Handgun_First_Clean_Jabez\armas (667)_jpg.rf.FyXRLJURN268QHVSdewV.jpg,640,427,1,118.0,9.0,365.0,174.0
Handgun\Handgun_First_Clean_Jabez\armas (667)_jpg.rf.FyXRLJURN268QHVSdewV.jpg,640,427,1,370.0,1.0,634.0,102.0
Handgun\Handgun_First_Clean_Jabez\armas (667)_jpg.rf.FyXRLJURN268QHVSdewV.jpg,640,427,1,3.0,1.0,222.0,84.0
Handgun\Handgun_First_Clean_Jabez\armas (1793)_jpg.rf.pihh2BvgCbCMKdBhsTUu.jpg,1440,900,1,408.0,45.0,1240.0,883.0
Handgun\Handgun_First_Clean_Jabez\armas (883)_jpg.rf.MH6gnlD5YP1lDOWVIQNM.jpg,262,192,1,136.0,53.0,218.0,134.0
Handgun\Handgun_First_Clean_Jabez\armas (1492)_jpg.rf.MltFswoQFIx6i8lPG774.jpg,500,420,1,60.0,185.0,341.0,388.0
Handgun\Handgun_First_Clean_Jabez\armas (1492)_jpg.rf.MltFswoQFIx6i8lPG774.jpg,500,420,1,151.0,36.0,431.0,240.0
Handgun\Handgun_First_Clean_Jabez\004eb6ca27183afe_jpg.rf.PBc2QnNajfvLv4qqduPg.jpg,1024,683,1,656.0,375.0,810.0,446.0
Handgun\Handgun_First_Clean_Jabez\armas (860)_jpg.rf.MzkcOvw8GcuxG8xRCV80.jpg,266,189,1,69.0,51.0,219.0,104.0
Handgun\Handgun_First_Clean_Jabez\armas (2786)_jpg.rf.HYGeJayzpeycL89VAEkH.jpg,495,464,1,141.0,144.0,189.0,244.0
Handgun\Handgun_First_Clean_Jabez\0caad617044daefb_jpg.rf.3uSsgFVojksoQVtyhT34.jpg,1024,677,1,468.0,238.0,602.0,366.0
Handgun\Handgun_First_Clean_Jabez\armas (2475)_jpg.rf.f4WO2Q0BcBKW0lOu6fuX.jpg,160,120,1,4.0,3.0,158.0,112.0
Handgun\Handgun_First_Clean_Jabez\armas (259)_jpg.rf.WIsAoVBC3z03G0zhOt8w.jpg,634,705,1,292.0,286.0,545.0,370.0
Handgun\Handgun_First_Clean_Jabez\armas (62)_jpg.rf.468PYu87BQLKpIPZgw5s.jpg,1300,1060,1,107.0,593.0,756.0,870.0
Handgun\Handgun_First_Clean_Jabez\armas (62)_jpg.rf.468PYu87BQLKpIPZgw5s.jpg,1300,1060,1,774.0,589.0,1160.0,868.0
Handgun\Handgun_First_Clean_Jabez\armas (62)_jpg.rf.468PYu87BQLKpIPZgw5s.jpg,1300,1060,1,166.0,187.0,637.0,470.0
Handgun\Handgun_First_Clean_Jabez\armas (62)_jpg.rf.468PYu87BQLKpIPZgw5s.jpg,1300,1060,1,696.0,180.0,1127.0,499.0
Handgun\Handgun_First_Clean_Jabez\armas (212)_jpg.rf.XBgoGVMFFqqI7plRfvx6.jpg,728,481,1,166.0,194.0,333.0,407.0
Handgun\Handgun_First_Clean_Jabez\armas (333)_jpg.rf.O1hHc9Q5gqpRIKqIjany.jpg,450,320,1,42.0,79.0,414.0,226.0
Handgun\Handgun_First_Clean_Jabez\armas (44)_jpg.rf.O39lYiUhIqEKwroetkoR.jpg,1300,863,1,847.0,389.0,1088.0,757.0
Handgun\Handgun_First_Clean_Jabez\armas (464)_jpg.rf.6rcpY1YBIsZxmvWzzK7j.jpg,1023,683,1,171.0,78.0,498.0,581.0
Handgun\Handgun_First_Clean_Jabez\armas (410)_jpg.rf.7qe13K8YL04Sv5bsH2g6.jpg,757,1023,1,231.0,107.0,711.0,835.0
Handgun\Handgun_First_Clean_Jabez\armas (529)_jpg.rf.8afClyVIHqhZ6jFgn2hh.jpg,215,234,1,31.0,22.0,191.0,191.0
Handgun\Handgun_First_Clean_Jabez\armas (632)_jpg.rf.97WmeesFLYKPGY5GUDGl.jpg,640,478,1,76.0,41.0,474.0,310.0
Handgun\Handgun_First_Clean_Jabez\armas (1780)_jpg.rf.fDZC1ksyitmGUcc0vOOP.jpg,240,160,1,40.0,39.0,217.0,99.0
Handgun\Handgun_First_Clean_Jabez\armas (1104)_jpg.rf.fwKMh1itt0y9iG874bnj.jpg,360,240,1,29.0,68.0,340.0,181.0
Handgun\Handgun_First_Clean_Jabez\armas (46)_jpg.rf.blFnmED9IiWh8mMUYLAL.jpg,450,332,1,181.0,62.0,449.0,331.0
Handgun\Handgun_First_Clean_Jabez\armas (2345)_jpg.rf.eoSatpIoDSBUXyDr2BCj.jpg,160,120,1,1.0,1.0,157.0,120.0
Handgun\Handgun_First_Clean_Jabez\armas (1509)_jpg.rf.nYyUcN1hBNIHdoiom7TR.jpg,500,195,1,84.0,44.0,94.0,56.0
Handgun\Handgun_First_Clean_Jabez\armas (1509)_jpg.rf.nYyUcN1hBNIHdoiom7TR.jpg,500,195,1,212.0,42.0,223.0,57.0
Handgun\Handgun_First_Clean_Jabez\fff2e8d187ce5b2b_jpg.rf.nfrvjHaL4Fmw65hjHUf8.jpg,1024,768,1,104.0,215.0,370.0,324.0
Handgun\Handgun_First_Clean_Jabez\armas (1530)_jpg.rf.o7TVREK9Mk5EaGkqLgVZ.jpg,500,375,1,35.0,56.0,480.0,350.0
Handgun\Handgun_First_Clean_Jabez\armas (145)_jpg.rf.o9YPiTd8GOmYpaIdyxzn.jpg,450,312,1,131.0,85.0,407.0,255.0
Handgun\Handgun_First_Clean_Jabez\armas (1046)_jpg.rf.o9t0JYqjVGFt32kImehX.jpg,252,200,1,181.0,101.0,233.0,140.0
Handgun\Handgun_First_Clean_Jabez\armas (2842)_jpg.rf.d07vXZRqndRTewrQow5g.jpg,620,320,1,124.0,171.0,250.0,253.0
Handgun\Handgun_First_Clean_Jabez\armas (345)_jpg.rf.angjbQ9aErcHjS07fn4X.jpg,300,300,1,6.0,64.0,296.0,254.0
Handgun\Handgun_First_Clean_Jabez\2ee5fcbf74884ad2_jpg.rf.hFAUrfLy9pGYnnJucXeS.jpg,1024,682,1,110.0,76.0,242.0,238.0
Handgun\Handgun_First_Clean_Jabez\2ee5fcbf74884ad2_jpg.rf.hFAUrfLy9pGYnnJucXeS.jpg,1024,682,1,434.0,187.0,822.0,350.0
Handgun\Handgun_First_Clean_Jabez\armas (1276)_jpg.rf.p5XLOM8K4YCAgtUKUitJ.jpg,500,404,1,28.0,90.0,457.0,354.0
Handgun\Handgun_First_Clean_Jabez\armas (2418)_jpg.rf.Wcz17jAC4xHnqIauOW0E.jpg,160,120,1,2.0,1.0,153.0,118.0
Handgun\Handgun_First_Clean_Jabez\armas (475)_jpg.rf.ovNF7qPKshEhqcxJBw6m.jpg,1024,1024,1,352.0,106.0,952.0,787.0
Handgun\Handgun_First_Clean_Jabez\armas (2433)_jpg.rf.5cnRSJ1UO9pk9aa3TnsU.jpg,160,120,1,3.0,1.0,158.0,117.0
Handgun\Handgun_First_Clean_Jabez\armas (437)_jpg.rf.ordj9t4UWtaSyXg4axqH.jpg,705,1023,1,64.0,283.0,180.0,378.0
Handgun\Handgun_First_Clean_Jabez\2470d43321ae2e5d_jpg.rf.oziW0kE8d8EeO96ouTsR.jpg,1024,768,1,264.0,33.0,580.0,499.0
Handgun\Handgun_First_Clean_Jabez\2470d43321ae2e5d_jpg.rf.oziW0kE8d8EeO96ouTsR.jpg,1024,768,1,585.0,34.0,837.0,472.0
Handgun\Handgun_First_Clean_Jabez\armas (2645)_jpg.rf.bM0WltoQ9jfttAZmoSZ3.jpg,160,120,1,2.0,4.0,158.0,117.0
Handgun\Handgun_First_Clean_Jabez\armas (567)_jpg.rf.ikEp5LUB8mAV6O5hYj93.jpg,640,480,1,35.0,145.0,371.0,307.0
Handgun\Handgun_First_Clean_Jabez\armas (567)_jpg.rf.ikEp5LUB8mAV6O5hYj93.jpg,640,480,1,142.0,272.0,537.0,429.0
Handgun\Handgun_First_Clean_Jabez\ee9c4ba9e6ea0735_jpg.rf.hIl9QCkaGZsIP6svb0Q1.jpg,1024,668,1,26.0,37.0,1006.0,636.0
Handgun\Handgun_First_Clean_Jabez\05a0dd0133e1c360_jpg.rf.u3812RGcSyJZYiuoGcOE.jpg,1024,864,1,142.0,68.0,901.0,781.0
Handgun\Handgun_First_Clean_Jabez\armas (1434)_jpg.rf.uAg2PgbEBskTUyNUisDF.jpg,500,375,1,78.0,45.0,443.0,316.0
Handgun\Handgun_First_Clean_Jabez\armas (2662)_jpg.rf.uQftu1zjkDnSQioHc1lv.jpg,160,120,1,2.0,2.0,157.0,117.0
Handgun\Handgun_First_Clean_Jabez\armas (2844)_jpg.rf.f2KBs5JvL02epBeWBdUR.jpg,660,505,1,9.0,17.0,649.0,501.0
Handgun\Handgun_First_Clean_Jabez\armas (2412)_jpg.rf.fIpj3ideX3gxl82KT07w.jpg,160,120,1,4.0,5.0,151.0,116.0
Handgun\Handgun_First_Clean_Jabez\armas (1844)_jpg.rf.ggHWC03Q05g3wXXoj2Rw.jpg,481,333,1,16.0,11.0,465.0,315.0
Handgun\Handgun_First_Clean_Jabez\armas (1735)_jpg.rf.QifTQvdqVJ8PgSoWAHEK.jpg,500,375,1,1.0,32.0,308.0,375.0
Handgun\Handgun_First_Clean_Jabez\armas (1230)_jpg.rf.6CUuq4H2wNjj9DG9hcMk.jpg,500,375,1,45.0,35.0,488.0,307.0
Handgun\Handgun_First_Clean_Jabez\armas (971)_jpg.rf.m8r8r8WeHhAQvcefz0GM.jpg,259,194,1,113.0,87.0,132.0,125.0
Handgun\Handgun_First_Clean_Jabez\armas (47)_jpg.rf.Yp4YytBMDR4BCKedXCpw.jpg,866,1300,1,303.0,124.0,803.0,853.0
Handgun\Handgun_First_Clean_Jabez\armas (2466)_jpg.rf.j5Wei23ozxwRrOCmSRc8.jpg,160,120,1,33.0,29.0,144.0,101.0
Handgun\Handgun_First_Clean_Jabez\armas (2316)_jpg.rf.k7LLWkCpJq7RSLSGBZUP.jpg,160,120,1,3.0,3.0,155.0,116.0
Handgun\Handgun_First_Clean_Jabez\armas (556)_jpg.rf.l76D2wxvq5ip3nZahY06.jpg,850,567,1,310.0,136.0,642.0,339.0
Handgun\Handgun_First_Clean_Jabez\armas (2265)_jpg.rf.5ol37VcnUqGnvSgfcBpa.jpg,160,120,1,11.0,5.0,153.0,114.0
Handgun\Handgun_First_Clean_Jabez\armas (977)_jpg.rf.6l4LwiwRc1sDX17U4ZUQ.jpg,276,182,1,104.0,76.0,214.0,157.0
Handgun\Handgun_First_Clean_Jabez\armas (569)_jpg.rf.6nyQH38Gid4PRVBnsvmj.jpg,800,600,1,46.0,110.0,760.0,600.0
Handgun\Handgun_First_Clean_Jabez\15fb1be9c6b15a67_jpg.rf.0J5MsRAN8QiPs6SLsgdp.jpg,1024,683,1,10.0,32.0,958.0,593.0
Handgun\Handgun_First_Clean_Jabez\armas (1867)_jpg.rf.20Rd4lfmIf4nU8NNT6dH.jpg,640,446,1,1.0,1.0,640.0,425.0
Handgun\Handgun_First_Clean_Jabez\ed6a5e4e1fd7c08a_jpg.rf.orKkiXX8bEJIR5E2NN37.jpg,1024,768,1,10.0,145.0,983.0,625.0
Handgun\Handgun_First_Clean_Jabez\32bd408d6b2fbd81_jpg.rf.pCRTyMZfJHVRiDSbuX6v.jpg,1024,619,1,282.0,256.0,495.0,460.0
Handgun\Handgun_First_Clean_Jabez\32bd408d6b2fbd81_jpg.rf.pCRTyMZfJHVRiDSbuX6v.jpg,1024,619,1,578.0,163.0,994.0,341.0
Handgun\Handgun_First_Clean_Jabez\armas (1506)_jpg.rf.XOeJ2634j0Bys8K4UIOG.jpg,500,333,1,2.0,11.0,440.0,330.0
Handgun\Handgun_First_Clean_Jabez\armas (2512)_jpg.rf.ogzpFXyqD24H6cPJWzxm.jpg,160,120,1,6.0,1.0,157.0,113.0
Handgun\Handgun_First_Clean_Jabez\armas (716)_jpg.rf.8SokyMaO21RP7UdeDZhO.jpg,600,368,1,201.0,7.0,571.0,317.0
Handgun\Handgun_First_Clean_Jabez\armas (1707)_jpg.rf.AO7rYLpzh5NuJGNZ6y6p.jpg,500,332,1,234.0,137.0,257.0,190.0
Handgun\Handgun_First_Clean_Jabez\armas (1279)_jpg.rf.Za35PbrvHgJsRXPzBoHv.jpg,334,500,1,58.0,14.0,272.0,472.0
Handgun\Handgun_First_Clean_Jabez\armas (2602)_jpg.rf.Zgh6B1xg8Sy17URTxPCX.jpg,160,120,1,1.0,1.0,157.0,118.0
Handgun\Handgun_First_Clean_Jabez\armas (696)_jpg.rf.ZmLmc8itvr2jFBgby0Lj.jpg,1024,682,1,630.0,230.0,923.0,505.0
Handgun\Handgun_First_Clean_Jabez\armas (1002)_jpg.rf.a22BMvahFTg9VrI6bTr8.jpg,183,275,1,121.0,72.0,135.0,137.0
Handgun\Handgun_First_Clean_Jabez\40558571e68e6180_jpg.rf.6wHWS2TVDDlu2s3yCfyH.jpg,1024,768,1,7.0,56.0,1015.0,764.0
Handgun\Handgun_First_Clean_Jabez\armas (1407)_jpg.rf.8iQMBMov4rdGYNIjoCSg.jpg,500,375,1,12.0,36.0,482.0,338.0
Handgun\Handgun_First_Clean_Jabez\1203af37e4dc67ac_jpg.rf.FL8zkhpqkdCpQaXaG5Qw.jpg,1024,728,1,70.0,64.0,963.0,640.0
Handgun\Handgun_First_Clean_Jabez\armas (2373)_jpg.rf.FV0dSHmOGZvIxaZLRO1c.jpg,160,120,1,4.0,5.0,158.0,116.0
Handgun\Handgun_First_Clean_Jabez\armas (2614)_jpg.rf.GDk4HoM7k8PkDGPSAnjh.jpg,160,120,1,4.0,3.0,156.0,113.0
Handgun\Handgun_First_Clean_Jabez\armas (2459)_jpg.rf.PcbExK8hRQdca962b3wq.jpg,160,120,1,1.0,1.0,159.0,110.0
Handgun\Handgun_First_Clean_Jabez\armas (493)_jpg.rf.SeFMv7cWfKT8ab8kAyod.jpg,225,225,1,7.0,50.0,217.0,200.0
Handgun\Handgun_First_Clean_Jabez\armas (1236)_jpg.rf.hzQSECjK21ssIxLQ9ZFC.jpg,500,375,1,26.0,60.0,485.0,331.0
Handgun\Handgun_First_Clean_Jabez\armas (427)_jpg.rf.iNaOEwRljmURw2D9cHzR.jpg,1024,495,1,13.0,53.0,137.0,218.0
Handgun\Handgun_First_Clean_Jabez\armas (427)_jpg.rf.iNaOEwRljmURw2D9cHzR.jpg,1024,495,1,294.0,195.0,352.0,360.0
Handgun\Handgun_First_Clean_Jabez\armas (427)_jpg.rf.iNaOEwRljmURw2D9cHzR.jpg,1024,495,1,387.0,57.0,537.0,195.0
Handgun\Handgun_First_Clean_Jabez\armas (427)_jpg.rf.iNaOEwRljmURw2D9cHzR.jpg,1024,495,1,463.0,137.0,587.0,330.0
Handgun\Handgun_First_Clean_Jabez\armas (427)_jpg.rf.iNaOEwRljmURw2D9cHzR.jpg,1024,495,1,748.0,53.0,867.0,191.0
Handgun\Handgun_First_Clean_Jabez\armas (2646)_jpg.rf.joT85ozMA57tkq3hYHyK.jpg,160,120,1,7.0,13.0,152.0,94.0
Handgun\Handgun_First_Clean_Jabez\armas (1097)_jpg.rf.jvigRnyYsyBwXDRGmmst.jpg,300,257,1,1.0,42.0,295.0,242.0
Handgun\Handgun_First_Clean_Jabez\armas (395)_jpg.rf.k2gprOGChUTiMa8GUVjI.jpg,1023,681,1,98.0,1.0,788.0,280.0
Handgun\Handgun_First_Clean_Jabez\armas (2905)_jpg.rf.9PUZztUUmbtTIX0y5wRJ.jpg,1300,1076,1,72.0,360.0,1047.0,670.0
Handgun\Handgun_First_Clean_Jabez\7f11fcb0be389d21_jpg.rf.6ZWMo2sYoIEJTH3Y2b8s.jpg,1024,750,1,195.0,169.0,837.0,633.0
Handgun\Handgun_First_Clean_Jabez\armas (1243)_jpg.rf.ETlUrZTwP8fQdHqss8Kn.jpg,500,375,1,23.0,31.0,478.0,269.0
Handgun\Handgun_First_Clean_Jabez\armas (2675)_jpg.rf.rBT1V3K5GawEbGIWMo4d.jpg,160,120,1,1.0,1.0,158.0,120.0
Handgun\Handgun_First_Clean_Jabez\armas (996)_jpg.rf.s6vmpbzki4uS22lShOea.jpg,294,172,1,89.0,1.0,201.0,81.0
Handgun\Handgun_First_Clean_Jabez\armas (1570)_jpg.rf.sNWh1B8kRSWN5ON0we3E.jpg,407,500,1,21.0,13.0,406.0,476.0
Handgun\Handgun_First_Clean_Jabez\72d7f9a735e31f04_jpg.rf.HwCHT9Jacb72fJIxPM3P.jpg,819,1024,1,41.0,724.0,378.0,1002.0
Handgun\Handgun_First_Clean_Jabez\armas (1410)_jpg.rf.HxGW6GVtkmxEdfqeLxK0.jpg,500,375,1,60.0,20.0,430.0,375.0
Handgun\Handgun_First_Clean_Jabez\armas (868)_jpg.rf.VWB38swUdKdCpMY00B0C.jpg,225,225,1,50.0,31.0,102.0,72.0
Handgun\Handgun_First_Clean_Jabez\armas (868)_jpg.rf.VWB38swUdKdCpMY00B0C.jpg,225,225,1,139.0,43.0,166.0,69.0
Handgun\Handgun_First_Clean_Jabez\armas (868)_jpg.rf.VWB38swUdKdCpMY00B0C.jpg,225,225,1,75.0,140.0,136.0,182.0
Handgun\Handgun_First_Clean_Jabez\armas (2887)_jpg.rf.WDljNs5DUVaCqsFendok.jpg,866,1300,1,428.0,355.0,511.0,511.0
Handgun\Handgun_First_Clean_Jabez\armas (2529)_jpg.rf.WQf1ggc10bmsVbtyL2tj.jpg,160,120,1,2.0,12.0,157.0,105.0
Handgun\Handgun_First_Clean_Jabez\armas (1129)_jpg.rf.X0ihPJdrfUet9Ru4FE61.jpg,800,430,1,281.0,58.0,571.0,343.0
Handgun\Handgun_First_Clean_Jabez\armas (551)_jpg.rf.XZNnYM1d7Jvdj1KG3ZeI.jpg,268,188,1,36.0,58.0,184.0,156.0
Handgun\Handgun_First_Clean_Jabez\armas (509)_jpg.rf.wM7qITFjsRH5OVMUFH3Y.jpg,296,170,1,71.0,12.0,239.0,123.0
Handgun\Handgun_First_Clean_Jabez\armas (1891)_jpg.rf.XajTjOSVJTyrJp5KdR6R.jpg,300,250,1,130.0,97.0,203.0,161.0
Handgun\Handgun_First_Clean_Jabez\armas (1690)_jpg.rf.vWYiiOnXv0rLUVAyaH0J.jpg,500,375,1,223.0,195.0,244.0,222.0
Handgun\Handgun_First_Clean_Jabez\armas (1690)_jpg.rf.vWYiiOnXv0rLUVAyaH0J.jpg,500,375,1,435.0,298.0,500.0,343.0
Handgun\Handgun_First_Clean_Jabez\armas (163)_jpg.rf.Zo0Ls542kaPgkVe2Z3Vk.jpg,864,1300,1,73.0,342.0,271.0,632.0
Handgun\Handgun_First_Clean_Jabez\armas (303)_jpg.rf.aHeSqTSnM2GR05i9qGMr.jpg,440,660,1,231.0,105.0,347.0,392.0
Handgun\Handgun_First_Clean_Jabez\armas (869)_jpg.rf.b3t9UXdcPn7cyTtfc365.jpg,248,203,1,48.0,67.0,105.0,105.0
Handgun\Handgun_First_Clean_Jabez\armas (2021)_jpg.rf.bdm835KDw7MlkNQgLElL.jpg,1920,1200,1,136.0,375.0,555.0,698.0
Handgun\Handgun_First_Clean_Jabez\armas (2612)_jpg.rf.fIDUinGW987PnRonIYke.jpg,160,120,1,10.0,4.0,156.0,113.0
Handgun\Handgun_First_Clean_Jabez\armas (1694)_jpg.rf.gXxYHcsmEOZzddNipHeK.jpg,500,333,1,31.0,78.0,500.0,309.0
Handgun\Handgun_First_Clean_Jabez\3122ebb9cb449fa9_jpg.rf.YBeASkqHUsLVWcNcEACc.jpg,640,1024,1,107.0,57.0,569.0,254.0
Handgun\Handgun_First_Clean_Jabez\armas (1842)_jpg.rf.aEhfrHnU21TsTEBRIlgJ.jpg,380,380,1,116.0,8.0,260.0,352.0
